Restaurant Name,Specialty,Price Range,Reviews,Location,Personal Notes
a'Verda Cocina,Mexican,$20-$30,4.4/5,Cary,
Ajja,Mediterranean,$50-$100,4.7/5,Raleigh,
Akami Sushi,Sushi,$20-$30,4.8/5,Apex,
Altered State Brewery,Drinks,$10-$20,4.9/5,Raleigh,
Angus Barn,Steakhouse,$50-$100,4.6/5,Raleigh,
Asian Kitchen,Asian,$10-$20,4.4/5,Durham,
Atlantic Garden Bar,Drinks,$10-$15,4.5/5,Raleigh,"Limited draft menu, and plants were kind of expensive. However, I did enjoy the vibes! I had a great time, but not tons of room for sitting. Sip and walk :) "
Beasley Chicken + Honey,Southern,$10-$20,4.5/5,Raleigh,
Bella Monica,Italian,$20-$30,4.4/5,Raleigh,"I love italian, and they seemed to have something for everyone. The service was great and the food was pretty good. I enjoyed the selection of wines that they offered."
Birrieria El Patron 323,Mexican,$10-$20,4.4/5,Raleigh,
Bombay Curry,Indian,$10-$20,4.7/5,Raleigh,
Boxcar,Drinks,$10-$20,4.5/5,Raleigh/Durham,
Burial Taproom,Drinks,$10-$20,4.7/5,Raleigh,
Centro,Mexican,$10-$20,4.5/5,Raleigh,
City Market Sushi,Sushi,$30-$50,4.7/5,Raleigh,
Compass Rose Brewery,Drinks,$10-$20,4.4/5,Raleigh,"I put this place on my list thinking it was just a brewery. HOWEVER, they have a random assortment of food they make as well. To be quite honest, their gyro is probably one of my favorites that I've tried in Raleigh."
Cristo's Pizzeria,Pizza,$10-$20,4.5/5,Raleigh,
Cucciolo Osteria/Cucciolo Terrazza,Italian,$30-$50,4.6/5,Raleigh/Durham,
Dame's Chicken and Waffles,Southern,$10-$20,4.3/5,Cary/Durham,
Dos Taquitos,Mexican,$20-$30,4.5/5,Raleigh,"They have a limited menu if you're not a fan of trying new things. They do their own take on ""traditional"" dishes, but I really enjoyed it! The experience of the queso/guac train was really fun lol. It was good, but it was really overhyped for me. It was *good*, just not my favorite! I still would go again though."
East Bower Cidery,Drinks,$10-$20,4.9/5,Raleigh,
Edit Brewery,Drinks,$10-$20,4.9/5,Raleigh,
Fullsteam Brewery,Drinks,$10-$20,4.6/5,Durham,
Funguys Brewery,Drinks,$10-$20,4.8/5,Raleigh,
G.58,Asian,$50-$100,4.5/5,Morrisville,
Glass Jug,Drinks,$10-$20,4.7/5,Durham,
Glasshouse Kitchen,Brunch,$15-$30,4.3/5,Durham,
Gonzo Tacos y Tequila,Mexican,$10-$20,4.5/5,Raleigh/Cary,
Gravy,Italian,$20-$30,4.3/5,Raleigh,
House of Hops,Drinks,$10-$20,4.8/5,Raleigh,One of my favorite places to hang out and drink with friends. The staff is super friendly as well! Great selection of beers and ciders for a decent price.
Hummingbird,New American,$20-$30,4.5/5,Raleigh,
Jose and Sons,Mexican,$20-$30,4.3/5,Raleigh,This is my go-to Mexican restaurant in Raleigh. You honestly can't go wrong here.
La Mala,Mexican,$20-$30,4.5/5,Durham,
Layered Croissanterie,Bakery,$10-$20,4.7/5,Raleigh,
Lime and Lemon,Indian,$20-$30,4.8/5,Raleigh/Durham,"I loved the food here! I appreciate the varying spice levels. I tried ""medium"" heat the first time because I didn't want to go overboard, and it was pretty average spice level. Next time I got ""hot"" and it was perfect! The waiter was really nice and gave us suggestions on what to try."
M Sushi,Sushi,$100+,4.7/5,Cary/Durham,
MC Restaurant,Asian,$50-$100,4.5/5,Cary,
New Anthem Brewery,Drinks,$10-$20,4.9/5,Raleigh,
Oak Steakhouse,Steakhouse,$100+,4.7/5,Raleigh,
Okome,Sushi/Hibachi,$20-$30,4.3/5,Raleigh,
Peck and Plume,Southern,$15-$30,4.4/5,Cary,
Perry's Steakhouse,Steakhouse,$100+,4.1/5,Raleigh,
Pineapple Sol,Brunch,$10-$20,4.1/5,Cary,"To be quite honest, it's mid at best. I went the first time, and I probably would've given it 4 stars. The second time I went, the food was extremely mediocre for the price. My husband and I spent almost $50 between the two of us, and we only got a meal each and he got coffee. My food was mostly flavorless, and my husband had to add a ton of salt and hot sauce to make his meal good. Not worth the price at all. "
